,exp,k
388,20220923,245.0
389,20220923,250.0
390,20220923,255.0
391,20220923,260.0
392,20220923,265.0
393,20220923,270.0
394,20220923,275.0
395,20220923,280.0
396,20220923,285.0
397,20220923,290.0
398,20220923,295.0
399,20220923,300.0
400,20220923,305.0
401,20220923,310.0
402,20220923,315.0
403,20220923,320.0
404,20220923,325.0
405,20220923,330.0
406,20220923,335.0
407,20220923,340.0
408,20220923,345.0
409,20220923,350.0
410,20220923,355.0
411,20220923,360.0
412,20220923,370.0
413,20220923,380.0
414,20220930,220.0
415,20220930,225.0
416,20220930,230.0
417,20220930,235.0
418,20220930,240.0
419,20220930,245.0
420,20220930,250.0
421,20220930,255.0
422,20220930,260.0
423,20220930,265.0
424,20220930,270.0
425,20220930,275.0
426,20220930,280.0
427,20220930,285.0
428,20220930,290.0
429,20220930,295.0
430,20220930,300.0
431,20220930,305.0
432,20220930,310.0
433,20220930,315.0
434,20220930,320.0
435,20220930,325.0
436,20220930,330.0
437,20220930,335.0
438,20220930,340.0
439,20220930,345.0
440,20220930,350.0
441,20220930,355.0
442,20220930,360.0
444,20221021,125.0
445,20221021,130.0
446,20221021,135.0
447,20221021,140.0
448,20221021,145.0
449,20221021,150.0
450,20221021,155.0
451,20221021,160.0
452,20221021,165.0
453,20221021,170.0
454,20221021,175.0
455,20221021,180.0
456,20221021,185.0
457,20221021,190.0
458,20221021,195.0
459,20221021,200.0
460,20221021,205.0
461,20221021,210.0
462,20221021,215.0
463,20221021,215.0
464,20221021,220.0
465,20221021,225.0
466,20221021,230.0
467,20221021,235.0
468,20221021,240.0
469,20221021,245.0
470,20221021,250.0
471,20221021,255.0
472,20221021,260.0
473,20221021,265.0
474,20221021,270.0
475,20221021,275.0
476,20221021,280.0
477,20221021,285.0
478,20221021,290.0
479,20221021,290.0
480,20221021,295.0
481,20221021,300.0
482,20221021,305.0
483,20221021,310.0
484,20221021,315.0
485,20221021,320.0
486,20221021,325.0
487,20221021,330.0
488,20221021,335.0
489,20221021,340.0
490,20221021,345.0
491,20221021,350.0
492,20221021,355.0
493,20221021,360.0
494,20221021,365.0
495,20221021,370.0
496,20221021,375.0
497,20221021,380.0
498,20221021,385.0
499,20221021,390.0
500,20221021,395.0
501,20221021,400.0
502,20221021,410.0
503,20221021,420.0
504,20221021,430.0
505,20221021,440.0
506,20221021,450.0
508,20221118,125.0
509,20221118,130.0
510,20221118,135.0
511,20221118,140.0
512,20221118,145.0
513,20221118,150.0
514,20221118,155.0
515,20221118,160.0
516,20221118,165.0
517,20221118,170.0
518,20221118,175.0
519,20221118,180.0
520,20221118,185.0
521,20221118,190.0
522,20221118,195.0
523,20221118,200.0
524,20221118,205.0
525,20221118,210.0
526,20221118,215.0
527,20221118,220.0
528,20221118,225.0
529,20221118,230.0
530,20221118,235.0
531,20221118,240.0
532,20221118,245.0
533,20221118,250.0
534,20221118,255.0
535,20221118,260.0
536,20221118,265.0
537,20221118,270.0
538,20221118,275.0
539,20221118,280.0
540,20221118,285.0
541,20221118,290.0
542,20221118,295.0
543,20221118,300.0
544,20221118,300.0
545,20221118,305.0
546,20221118,310.0
547,20221118,315.0
548,20221118,320.0
549,20221118,325.0
550,20221118,330.0
551,20221118,335.0
552,20221118,340.0
553,20221118,345.0
554,20221118,350.0
555,20221118,355.0
556,20221118,360.0
557,20221118,365.0
558,20221118,370.0
559,20221118,375.0
560,20221118,380.0
561,20221118,385.0
562,20221118,390.0
563,20221118,395.0
564,20221118,400.0
565,20221118,405.0
566,20221118,410.0
567,20221118,415.0
568,20221118,420.0
569,20221118,425.0
570,20221118,430.0
571,20221118,435.0
572,20221118,440.0
573,20221118,445.0
574,20221118,450.0
575,20221118,460.0
